
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT MONDAY, NOVEMBER 11, 2013 16:00     PAGE   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
RECEIVE              | 12101002             |  1 | A4812783 |      4    | EA | _______ | Putaway   | 11/11 08:38 | SM563749 | 04620101  EYEBOLT BSS DROP FORGED BLK BSW 3/8"    
RECEIVE              | 12125504             |  1 | A4813355 |    250    | EA | _______ | Putaway   | 11/11 15:25 | SM563954 | 01801053  TERMINAL RING  6MM HOLE BLUE RT2-6      
RECEIVE              | 12132201             |  1 | A4812774 |     10    | EA | _______ | Putaway   | 11/11 08:35 | SM563782 | 03559804  TAIL SINGLE BARB P3  5TM6 5/16"TX3/8"BSP
RECEIVE              | 12132401             |  1 | A4812773 |     16    | EA | _______ | Putaway   | 11/11 08:35 | SM563782 | 03558708  TAIL SINGLE BARB P3  3TM2 3/16"TX1/8"BSP
RECEIVE              | 12133401             |  1 | A4812990 |    121    | EA | _______ | Putaway   | 11/11 10:01 | SM561826 | 04625504  SHACKLE D COMM GAL 5MM X 5MM            
RECEIVE              | 12171203             |  1 | A4813352 |   1200    | EA | _______ | Putaway   | 11/11 14:49 | SM563738 | 04135019  NUT NYLON INSERT LOCK CL10 ZP 8MM       
RECEIVE              | 12205803             |  1 | A4813202 |      8    | PH | _______ | Putaway   | 11/11 13:07 | SM563729 | 07826009  BLADE JIGSAW LESTO/BOSCH T101B PKT 5    
RECEIVE              | 12215802             |  1 | A4813389 |      5    | PH | _______ | Putaway   | 11/11 15:49 | SM562761 | 07826902  BLADE JIGSAW LESTO/BOSCH T227D (5)      
RECEIVE              | 12223501             |  1 | A4813226 |      1    | EA | _______ | Putaway   | 11/11 13:15 | SM563712 | 04657922  HARNESS HEAD SPEEDGLAS 9000 SHIELD      
RECEIVE              | 12615201             |  1 | A4813052 |      6    | EA | _______ | Putaway   | 11/11 10:51 | SM563439 | 03193901  SOCKET STEEL STEAM FULL  80 NB          
